Año,Comunidad Autónoma,Reciclado procedente de recogida separada,Materiales recuperados-TMB mezclados,Compostado/Digestion anaerobia de FORS,Compostado/Digestión anaerobia,Incinerado,Vertido de rechazos,Vertido sin tratamiento previo,Total
2012,CASTILLA - LA MANCHA,87489.0,31350.75,0.0,175769.75,0.0,406961.25,172642.75,874214.25
2012,CASTILLA Y LEÓN,144626.5,34514.5,0.0,208523.25,0.0,685271.5,2580.0,1075515.75
2012,CATALUÑA,724783.0,112749.0,357305.5,367756.0,690877.5,628624.25,741768.75,3623863.75
2012,EXTREMADURA,72611.5,15161.75,0.0,105996.75,0.0,272475.0,16715.25,482960.25
2012,GALICIA,121482.75,28010.5,8648.25,56980.5,543173.25,153301.25,196750.0,1108346.25
2012,LA RIOJA ,25853.25,5283.5,0.0,38721.5,0.0,62777.0,0.0,132635.25
2012,COMUNIDAD DE MADRID,314221.25,45149.0,15461.0,38890.5,374442.5,602222.25,1018229.25,2408615.75
2012,REGIÓN DE MURCIA,65812.75,15186.75,875.75,107281.75,431.25,478552.0,11066.75,679206.5
2012,COMUNIDAD FORAL DE NAVARRA,68154.5,819.5,23787.0,32035.25,0.0,47770.5,94213.75,266780.5
2012,PAÍS VASCO,279151.0,19583.5,8395.5,34167.5,243831.0,84369.25,214677.0,884174.75
2012,COMUNITAT VALENCIANA,258902.75,110694.0,0.0,647029.25,2479.0,1145444.0,462.0,2165011.0
2012,CEUTA,3251.25,0.0,0.0,0.0,0.0,0.0,0.0,3251.25
2012,MELILLA,3238.0,0.0,0.0,0.0,41948.75,0.0,0.0,45186.75
2012,TOTAL NACIONAL,2973773.75,614441.0,494190.75,2633982.75,2491541.75,7534448.25,4270862.5,21013239.25
2011,ANDALUCÍA,366138.75,148015.75,37458.625,630013.62,0.0,2301932.25,493366.625,3976925.62
2011,ARAGÓN,72796.38,13494.875,0.0,65801.5,0.0,167626.62,211820.125,531538.88
2011,PRINCIPADO DE ASTURIAS,126441.38,0.0,15309.625,0.0,0.0,4342.0,385573.75,531666.5
2011,ILLES BALEARS ,113166.25,220.875,24838.25,23346.5,484595.62,22351.12,117721.125,786239.75
2011,CANARIAS,109183.5,24998.5,1925.125,66081.75,0.0,448794.25,561082.25,1212065.38
2011,CANTABRIA,34773.62,13995.875,0.0,50194.25,119561.12,39203.25,18381.625,276109.75
2011,CASTILLA - LA MANCHA,88810.0,32454.625,0.0,175995.62,0.0,410607.88,170836.125,878704.88
2011,CASTILLA Y LEÓN,146401.75,34356.75,0.0,207471.88,0.0,685560.25,2360.0,1076150.62
2011,CATALUÑA,739164.0,117545.5,354185.25,398131.5,682148.25,608053.88,714302.625,3613530.62
2011,EXTREMADURA,72772.75,15139.625,0.0,106799.12,0.0,273861.5,13929.375,482502.38
2011,GALICIA,123105.62,28094.75,8557.375,56648.25,541393.88,153087.88,200419.5,1111306.88
2011,LA RIOJA ,26465.38,5312.75,0.0,38153.75,0.0,63538.0,0.0,133469.88
2011,COMUNIDAD DE MADRID,316767.88,45005.0,16575.5,36633.25,386690.75,592119.38,1027165.375,2420957.12
2011,REGIÓN DE MURCIA,67806.62,16214.125,1313.625,111588.12,646.88,474979.5,11265.625,683814.25
2011,COMUNIDAD FORAL DE NAVARRA,68557.75,853.75,27186.0,31797.38,0.0,48469.75,92971.625,269836.25
2011,PAÍS VASCO,282538.5,18230.75,9359.25,37570.75,246750.5,85931.38,217668.5,898049.62
2011,COMUNITAT VALENCIANA,262062.12,110005.0,0.0,632230.88,3718.5,1161034.0,385.0,2169435.5
2011,CEUTA,3254.38,0.0,0.0,0.0,0.0,0.0,0.0,3254.38
2011,MELILLA,3498.0,0.0,0.0,0.0,42283.62,0.0,0.0,45781.62
2011,TOTAL NACIONAL,3023704.62,623938.5,496708.625,2668458.12,2507789.12,7541492.88,4239249.25,21101339.88
2010,ANDALUCÍA,362002.12,146473.125,37339.1875,625062.69,0.0,2308242.88,486450.6875,3965570.69
2010,ARAGÓN,72316.81,13767.0625,0.0,65979.75,0.0,166362.69,211686.4375,530112.06
2010,PRINCIPADO DE ASTURIAS,124535.31,0.0,15639.6875,0.0,0.0,4347.5,384419.125,528941.25
2010,ILLES BALEARS ,111900.88,217.0625,24767.875,22548.75,479495.69,23027.44,116311.4375,778269.12
2010,CANARIAS,107615.75,23783.25,1877.9375,64472.62,0.0,434767.88,577822.875,1210340.31
2010,CANTABRIA,34977.19,14091.5625,0.0,50070.38,119761.94,38716.38,18160.6875,275778.12
2010,CASTILLA - LA MANCHA,88149.5,31902.6875,0.0,175882.69,0.0,408784.56,171739.4375,876459.56
2010,CASTILLA Y LEÓN,145514.12,34435.625,0.0,207997.56,0.0,685415.88,2470.0,1075833.19
2010,CATALUÑA,731973.5,115147.25,355745.375,382943.75,686512.88,618339.06,728035.6875,3618697.19
2010,EXTREMADURA,72692.12,15150.6875,0.0,106397.94,0.0,273168.25,15322.3125,482731.31
2010,GALICIA,122294.19,28052.625,8602.8125,56814.38,542283.56,153194.56,198584.75,1109826.56
2010,LA RIOJA ,26159.31,5298.125,0.0,38437.62,0.0,63157.5,0.0,133052.56
2010,COMUNIDAD DE MADRID,315494.56,45077.0,16018.25,37761.88,380566.62,597170.81,1022697.3125,2414786.44
2010,REGIÓN DE MURCIA,66809.69,15700.4375,1094.6875,109434.94,539.06,476765.75,11166.1875,681510.38
2010,COMUNIDAD FORAL DE NAVARRA,68356.12,836.625,25486.5,31916.31,0.0,48120.12,93592.6875,268308.38
2010,PAÍS VASCO,280844.75,18907.125,8877.375,35869.12,245290.75,85150.31,216172.75,891112.19
2010,COMUNITAT VALENCIANA,260482.44,110349.5,0.0,639630.06,3098.75,1153239.0,423.5,2167223.25
2010,CEUTA,3252.81,0.0,0.0,0.0,0.0,0.0,0.0,3252.81
2010,MELILLA,3368.0,0.0,0.0,0.0,42116.19,0.0,0.0,45484.19
2010,TOTAL NACIONAL,2998739.19,619189.75,495449.6875,2651220.44,2499665.44,7537970.56,4255055.875,21057289.56
