Tipo de residuo;Comunidades autónomas;periodo;Total
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2015;13.041
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2014;13.139
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2013;14.062
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2012;12.644
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2011;23.539
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2010;33.977
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2018;9.959
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2017;29.996
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2016;86.875
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2015;40.640
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2014;38.474
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2013;29.375
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2012;13.005
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2011;11.306
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla - La Mancha;2010;31.588
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2018;117.245
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2017;105.836
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2016;163.348
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2015;94.157
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2014;100.042
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2013;86.516
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2012;83.700
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2011;55.438
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cataluña;2010;77.627
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2018;100.906
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2017;70.823
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2016;82.055
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2015;44.483
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2014;44.376
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2013;28.634
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2012;45.969
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2011;91.753
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Comunitat Valenciana;2010;59.550
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2018;23.809
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2017;13.280
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2016;17.444
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2015;4.207
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2014;4.236
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2013;3.695
